# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1353
#@/user_id	b984ef3a-97ec-45f9-89c8-d237fbe7ae79
a 	啊	c=8 d=0.908954 t=1353
dong xi 	東西	c=5 d=0.425553 t=1353
dou 	都	c=4 d=0.528977 t=1353
dou shi 	都是	c=5 d=0.606249 t=1353
du 	讀	c=1 d=0.0605068 t=1353
du qu 	讀取	c=1 d=0.131994 t=1353
dui 	對	c=1 d=0.116484 t=1353
dui ying 	對應	c=1 d=0.0280154 t=1353
fa 	法	c=2 d=0.323033 t=1353
fa 	發	c=4 d=0.640535 t=1353
fa ge 	發個	c=1 d=0.271173 t=1353
fa gei 	發給	c=2 d=0.758911 t=1353
fa huo 	發貨	c=1 d=0.449329 t=1353
fa song 	發送	c=14 d=3.60668 t=1353
fa song shu ju 	發送數據	c=1 d=0.548812 t=1353
fa zhe zhong 	發這種	c=1 d=0.0523397 t=1353
fan hui 	返回	c=1 d=0.181772 t=1353
fan qiang 	翻牆	c=1 d=0.516851 t=1353
fan suo 	繁瑣	c=1 d=0.0218184 t=1353
fang 	放	c=1 d=0.144424 t=1353
fang zai 	放在	c=1 d=0.522046 t=1353
feng 	封	c=1 d=0.657047 t=1353
feng 	峯	c=0 d=0.0110803 t=1353
feng huo tai 	烽火臺	c=1 d=0.690734 t=1353
feng ming qi 	蜂鳴器	c=1 d=0.631283 t=1353
fu ben 	副本	c=1 d=0.0420036 t=1353
fu hao 	符號	c=0 d=0.0970446 t=1353
fu hao jian 	符號鍵	c=1 d=0.97531 t=1353
fu wu 	服務	c=2 d=0.20089 t=1353
fu zhi 	複製	c=1 d=0.186374 t=1353
gai 	改	c=5 d=0.404542 t=1353
gai 	該	c=2 d=0.25959 t=1353
gai cheng 	改成	c=2 d=0.861065 t=1353
gai cheng nei qian 	改成內嵌	c=1 d=0.453845 t=1353
gai guo lai 	改過來	c=1 d=0.486752 t=1353
gan 	淦	c=5 d=1.06482 t=1353
gan jue 	感覺	c=0 d=0.050409 t=1353
gan jue dou ta ma de 	感覺都他媽的	c=1 d=0.506617 t=1353
gan ma 	幹嘛	c=1 d=0.222295 t=1353
gan zhou 	贛州	c=1 d=0.70822 t=1353
gao 	高	c=0 d=0.00478349 t=1353
gao ding 	搞定	c=1 d=0.173774 t=1353
gao lao shi 	高老師	c=3 d=0.218637 t=1353
ge dan 	歌單	c=1 d=0.637628 t=1353
ge qu 	歌曲	c=2 d=1.50065 t=1353
ge shi 	格式	c=1 d=1 t=1346
ge zhong 	各種	c=1 d=0.0327124 t=1353
gei 	給	c=3 d=1.17776 t=1353
gei ni kan 	To Show给Telegram群友展示	c=0 d=0 t=0
geng gai 	更改	c=1 d=1 t=1314
gong 	共	c=1 d=0.0239928 t=1353
gong 	功	c=1 d=0.135335 t=1353
gong ju 	工具	c=1 d=0.0319048 t=1353
gong yang 	共陽	c=1 d=0.0238732 t=1353
guan zhu 	關注	c=1 d=0.053397 t=1353
gui 	鬼	c=1 d=0.0461896 t=1353
guo du 	過度	c=1 d=0.0320647 t=1353
guo lai 	過來	c=1 d=0.1764 t=1353
guo le 	過了	c=0 d=0.00596059 t=1353
ha ha 	哈哈	c=2 d=0.140247 t=1353
ha ha ha ha 	哈哈哈哈	c=1 d=0.351692 t=1353
hai 	還	c=1 d=0.0682212 t=1353
hai ke yi 	還可以	c=1 d=0.519442 t=1353
hai mei 	還沒	c=2 d=0.207008 t=1353
hai shi 	還是	c=1 d=0.438235 t=1353
hai yang 	海洋	c=1 d=0.0372538 t=1353
hai you 	還有	c=1 d=0.640824 t=1353
han shu 	函數	c=5 d=1.35763 t=1353
hao 	好	c=9 d=0.606925 t=1353
hao bu hao 	好不好	c=1 d=0.227638 t=1353
hao de 	好的	c=3 d=1.03618 t=1353
hao kan 	好看	c=1 d=0.509157 t=1353
hao le 	好了	c=2 d=0.491644 t=1353
hao xiang 	好像	c=2 d=0.349938 t=1353
he 	和	c=3 d=0.119843 t=1353
hen duo 	很多	c=1 d=0.0163259 t=1353
heng pai 	橫排	c=0 d=0.0425283 t=1353
heng pai shu ru 	橫排輸入	c=1 d=0.427415 t=1353
heng xiang 	橫向	c=1 d=0.392586 t=1353
hong 	紅	c=6 d=0.313486 t=1353
hong cha 	紅茶	c=0 d=0.066365 t=1353
hong lv deng 	紅綠燈	c=1 d=0.694196 t=1353
hong se 	紅色	c=1 d=0.0237541 t=1353
hou 	後	c=6 d=0.463363 t=1353
hou man 	後滿	c=1 d=0.0259911 t=1353
hou mian 	後面	c=2 d=0.343518 t=1353
hou xuan 	候選	c=1 d=0.384812 t=1353
hua qian 	花錢	c=1 d=0.0689068 t=1353
huai le 	壞了	c=1 d=0.0678809 t=1353
huai yi 	懷疑	c=1 d=0.479505 t=1353
huan jing 	環境	c=2 d=0.639146 t=1353
hui 	會	c=1 d=0.0645703 t=1353
hui fu 	回覆	c=1 d=0.0471227 t=1353
hui qu 	回去	c=2 d=0.248968 t=1353
huo hu 	火狐	c=2 d=0.0857086 t=1353
huo qu 	獲取	c=3 d=0.660037 t=1353
ji 	即	c=1 d=0.433874 t=1353
ji chu 	基礎	c=2 d=0.0654911 t=1353
ji de 	記得	c=1 d=0.537945 t=1353
ji dian 	幾點	c=2 d=0.647264 t=1353
ji ji 	積極	c=0 d=0.0168638 t=1353
ji lei 	積累	c=1 d=0.0347353 t=1353
ji ran ru ci 	既然如此	c=1 d=0.506617 t=1353
ji xian 	集顯	c=1 d=0.318224 t=1353
ji zhu 	記住	c=0 d=0.00692522 t=1353
ji zhu le 	記住了	c=1 d=0.0695994 t=1353
jia 	家	c=0 d=0.0384812 t=1353
jia mu lu 	家目錄	c=3 d=1.21436 t=1353
jian 	鍵	c=1 d=0.899563 t=1353
jian ce 	檢測	c=1 d=0.311923 t=1353
jian jie 	簡潔	c=1 d=0.0209629 t=1353
jian li 	建立	c=6 d=1.78556 t=1353
jian qie 	剪切	c=0 d=0.0172045 t=1353
jian qie ban 	剪切板	c=3 d=0.546644 t=1353
jiang 	將	c=2 d=1.17427 t=1353
jiang 	降	c=1 d=0.444858 t=1353
jiang ye 	將夜	c=4 d=2.96787 t=1353
jiao 	叫	c=1 d=0.110803 t=1353
jiao hu 	交互	c=1 d=0.0405589 t=1353
jiao huan 	交換	c=1 d=0.108609 t=1353
jiao yan 	校驗	c=1 d=0.0192547 t=1353
jie dian 	節點	c=2 d=0.459904 t=1353
jie fa 	揭發	c=1 d=0.647264 t=1353
jie guo 	結果	c=1 d=0.158817 t=1353
jie shou 	接收	c=14 d=3.03708 t=1353
jie shu 	結束	c=1 d=0.438235 t=1353
jie ya 	解壓	c=1 d=0.650509 t=1353
jin 	僅	c=2 d=1.38172 t=1353
jin 	進	c=2 d=1.12626 t=1353
jin ru 	進入	c=4 d=1.16033 t=1353
jin tian 	今天	c=0 d=0.0609571 t=1353
jin xing 	進行	c=1 d=0.0183156 t=1353
jin yin 	浸淫	c=1 d=0.036334 t=1353
